Sample	total_reads	paired_total	overall_alignment_rate	unpaired_total
105119	7585406	7585406	16.32	
1145973	12694940		73.56	12694940
1159793	12694940		73.56	12694940
2369511	56062102		74.43	56062102
3150732	12066724		73.18	12066724
4024149	7585406	7585406	16.32	
438634	7251366	7251366	16.8	
459070	12066724		73.18	12066724
462389	12066724		73.18	12066724
489753	7251366	7251366	16.8	
