Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
chopper_filtered_dorado_trimmed_FAZ83542_pass_1344a466_45031b9d_concatenated	(12.0, 11.0)	(13.0, 324.0)	(14.0, 3910.0)	(15.0, 14561.0)	(16.0, 27274.0)	(17.0, 38122.0)	(18.0, 48601.0)	(19.0, 58349.0)	(20.0, 69122.0)	(21.0, 82383.0)	(22.0, 100626.0)	(23.0, 122745.0)	(24.0, 150722.0)	(25.0, 185156.0)	(26.0, 228330.0)	(27.0, 284434.0)	(28.0, 353241.0)	(29.0, 431506.0)	(30.0, 522828.0)	(31.0, 637362.0)	(32.0, 786970.0)	(33.0, 973993.0)	(34.0, 1210674.0)	(35.0, 1495957.0)	(36.0, 1814260.0)	(37.0, 2095876.0)	(38.0, 2209603.0)	(39.0, 1984711.0)	(40.0, 1370382.0)	(41.0, 629254.0)	(42.0, 159926.0)	(43.0, 17954.0)	(44.0, 681.0)	(45.0, 8.0)																
chopper_filtered_dorado_trimmed_FBA43334_pass_6846ed3b_6b29293f_concatenated	(11.0, 1.0)	(12.0, 8.0)	(13.0, 98.0)	(14.0, 991.0)	(15.0, 5423.0)	(16.0, 10661.0)	(17.0, 13988.0)	(18.0, 17154.0)	(19.0, 22393.0)	(20.0, 30518.0)	(21.0, 42620.0)	(22.0, 60584.0)	(23.0, 89985.0)	(24.0, 135248.0)	(25.0, 201300.0)	(26.0, 285197.0)	(27.0, 371253.0)	(28.0, 446233.0)	(29.0, 500937.0)	(30.0, 537576.0)	(31.0, 593922.0)	(32.0, 689345.0)	(33.0, 795911.0)	(34.0, 824240.0)	(35.0, 684982.0)	(36.0, 422737.0)	(37.0, 195964.0)	(38.0, 75571.0)	(39.0, 26282.0)	(40.0, 8354.0)	(41.0, 2126.0)	(42.0, 398.0)	(43.0, 57.0)	(44.0, 9.0)																
chopper_filtered_dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenated	(11.0, 4.0)	(12.0, 45.0)	(13.0, 170.0)	(14.0, 380.0)	(15.0, 1429.0)	(16.0, 4221.0)	(17.0, 8351.0)	(18.0, 13423.0)	(19.0, 20478.0)	(20.0, 29153.0)	(21.0, 40220.0)	(22.0, 53817.0)	(23.0, 71403.0)	(24.0, 94550.0)	(25.0, 124287.0)	(26.0, 161161.0)	(27.0, 203487.0)	(28.0, 245453.0)	(29.0, 276919.0)	(30.0, 298322.0)	(31.0, 308889.0)	(32.0, 309251.0)	(33.0, 300323.0)	(34.0, 275234.0)	(35.0, 234911.0)	(36.0, 185952.0)	(37.0, 140848.0)	(38.0, 101970.0)	(39.0, 66112.0)	(40.0, 36046.0)	(41.0, 14324.0)	(42.0, 3659.0)	(43.0, 546.0)	(44.0, 45.0)	(45.0, 1.0)															
dorado_FBA62655_pass_9d20541a_79aab80e_concatenated	(4.0, 1.0)	(5.0, 0.0)	(6.0, 1.0)	(7.0, 9.0)	(8.0, 19.0)	(9.0, 33.0)	(10.0, 68.0)	(11.0, 154.0)	(12.0, 345.0)	(13.0, 781.0)	(14.0, 1823.0)	(15.0, 4022.0)	(16.0, 8143.0)	(17.0, 12795.0)	(18.0, 19246.0)	(19.0, 27676.0)	(20.0, 38015.0)	(21.0, 51297.0)	(22.0, 67218.0)	(23.0, 88573.0)	(24.0, 114786.0)	(25.0, 148681.0)	(26.0, 187980.0)	(27.0, 231144.0)	(28.0, 268150.0)	(29.0, 294714.0)	(30.0, 307880.0)	(31.0, 310466.0)	(32.0, 307746.0)	(33.0, 292545.0)	(34.0, 260910.0)	(35.0, 212145.0)	(36.0, 157287.0)	(37.0, 109579.0)	(38.0, 69617.0)	(39.0, 38377.0)	(40.0, 16320.0)	(41.0, 4302.0)	(42.0, 696.0)	(43.0, 75.0)	(44.0, 5.0)									
dorado_trim_full_length_pychopper_output.FAZ80247_pass_03069096_5394ef1c_concatenated	(6.0, 2.0)	(7.0, 2.0)	(8.0, 3.0)	(9.0, 14.0)	(10.0, 31.0)	(11.0, 55.0)	(12.0, 107.0)	(13.0, 416.0)	(14.0, 2792.0)	(15.0, 9760.0)	(16.0, 19608.0)	(17.0, 29387.0)	(18.0, 38026.0)	(19.0, 45126.0)	(20.0, 51727.0)	(21.0, 60127.0)	(22.0, 71009.0)	(23.0, 85173.0)	(24.0, 105531.0)	(25.0, 134931.0)	(26.0, 180391.0)	(27.0, 256184.0)	(28.0, 369865.0)	(29.0, 480358.0)	(30.0, 546839.0)	(31.0, 620596.0)	(32.0, 734769.0)	(33.0, 878083.0)	(34.0, 1055291.0)	(35.0, 1260744.0)	(36.0, 1484680.0)	(37.0, 1695499.0)	(38.0, 1816137.0)	(39.0, 1724777.0)	(40.0, 1332541.0)	(41.0, 745509.0)	(42.0, 258144.0)	(43.0, 45117.0)	(44.0, 3115.0)	(45.0, 69.0)										
dorado_trimmed_FAZ80247_pass_03069096_5394ef1c_concatenated	(1.0, 4.0)	(2.0, 20.0)	(3.0, 105.0)	(4.0, 170.0)	(5.0, 205.0)	(6.0, 220.0)	(7.0, 259.0)	(8.0, 357.0)	(9.0, 526.0)	(10.0, 715.0)	(11.0, 1015.0)	(12.0, 1550.0)	(13.0, 3178.0)	(14.0, 8666.0)	(15.0, 19833.0)	(16.0, 32671.0)	(17.0, 44697.0)	(18.0, 55057.0)	(19.0, 63176.0)	(20.0, 71794.0)	(21.0, 83731.0)	(22.0, 98675.0)	(23.0, 118284.0)	(24.0, 145780.0)	(25.0, 185208.0)	(26.0, 243247.0)	(27.0, 334808.0)	(28.0, 465792.0)	(29.0, 588024.0)	(30.0, 666557.0)	(31.0, 755503.0)	(32.0, 887577.0)	(33.0, 1045925.0)	(34.0, 1239003.0)	(35.0, 1454494.0)	(36.0, 1678490.0)	(37.0, 1862282.0)	(38.0, 1924864.0)	(39.0, 1745961.0)	(40.0, 1270042.0)	(41.0, 649795.0)	(42.0, 194747.0)	(43.0, 26730.0)	(44.0, 1338.0)	(45.0, 34.0)	(46.0, 4.0)	(47.0, 1.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 1.0)
dorado_trimmed_FAZ83542_pass_1344a466_45031b9d_concatenated	(1.0, 1.0)	(2.0, 24.0)	(3.0, 139.0)	(4.0, 241.0)	(5.0, 370.0)	(6.0, 414.0)	(7.0, 450.0)	(8.0, 560.0)	(9.0, 850.0)	(10.0, 1257.0)	(11.0, 1901.0)	(12.0, 2796.0)	(13.0, 5224.0)	(14.0, 13892.0)	(15.0, 29110.0)	(16.0, 44055.0)	(17.0, 55712.0)	(18.0, 66120.0)	(19.0, 76104.0)	(20.0, 87263.0)	(21.0, 102211.0)	(22.0, 122302.0)	(23.0, 146716.0)	(24.0, 177310.0)	(25.0, 213585.0)	(26.0, 258358.0)	(27.0, 315594.0)	(28.0, 384119.0)	(29.0, 461261.0)	(30.0, 551064.0)	(31.0, 663057.0)	(32.0, 808746.0)	(33.0, 991647.0)	(34.0, 1224078.0)	(35.0, 1505317.0)	(36.0, 1820470.0)	(37.0, 2099584.0)	(38.0, 2211558.0)	(39.0, 1985608.0)	(40.0, 1370750.0)	(41.0, 629392.0)	(42.0, 159986.0)	(43.0, 17970.0)	(44.0, 687.0)	(45.0, 11.0)	(46.0, 0.0)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 1.0)
dorado_trimmed_FBA43334_fail_6846ed3b_6b29293f_concatenated	(1.0, 8317.0)	(2.0, 5481.0)	(3.0, 5308.0)	(4.0, 7288.0)	(5.0, 10044.0)	(6.0, 14094.0)	(7.0, 23544.0)	(8.0, 36970.0)	(9.0, 1306915.0)	(10.0, 39987.0)	(11.0, 32625.0)	(12.0, 27700.0)	(13.0, 26165.0)	(14.0, 25194.0)	(15.0, 21415.0)	(16.0, 17420.0)	(17.0, 15939.0)	(18.0, 15773.0)	(19.0, 15367.0)	(20.0, 15043.0)	(21.0, 14683.0)	(22.0, 14119.0)	(23.0, 13744.0)	(24.0, 12521.0)	(25.0, 10917.0)	(26.0, 9025.0)	(27.0, 6662.0)	(28.0, 4600.0)	(29.0, 2766.0)	(30.0, 1583.0)	(31.0, 893.0)	(32.0, 473.0)	(33.0, 326.0)	(34.0, 257.0)	(35.0, 198.0)	(36.0, 130.0)	(37.0, 94.0)	(38.0, 67.0)	(39.0, 67.0)	(40.0, 27.0)	(41.0, 20.0)	(42.0, 7.0)	(43.0, 1.0)	(44.0, 1.0)						
dorado_trimmed_FBA43334_pass_6846ed3b_6b29293f_concatenated	(1.0, 1.0)	(2.0, 1.0)	(3.0, 22.0)	(4.0, 38.0)	(5.0, 79.0)	(6.0, 99.0)	(7.0, 109.0)	(8.0, 118.0)	(9.0, 109.0)	(10.0, 162.0)	(11.0, 205.0)	(12.0, 390.0)	(13.0, 793.0)	(14.0, 2457.0)	(15.0, 7983.0)	(16.0, 13119.0)	(17.0, 16472.0)	(18.0, 19810.0)	(19.0, 25167.0)	(20.0, 33300.0)	(21.0, 45392.0)	(22.0, 63402.0)	(23.0, 92755.0)	(24.0, 137952.0)	(25.0, 203942.0)	(26.0, 287692.0)	(27.0, 373505.0)	(28.0, 448392.0)	(29.0, 502798.0)	(30.0, 539286.0)	(31.0, 595382.0)	(32.0, 690475.0)	(33.0, 796810.0)	(34.0, 824977.0)	(35.0, 685529.0)	(36.0, 423198.0)	(37.0, 196265.0)	(38.0, 75776.0)	(39.0, 26393.0)	(40.0, 8423.0)	(41.0, 2164.0)	(42.0, 415.0)	(43.0, 64.0)	(44.0, 12.0)	(45.0, 3.0)	(46.0, 1.0)	(47.0, 0.0)	(48.0, 1.0)	(49.0, 0.0)	(50.0, 1.0)
dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenated	(3.0, 3.0)	(4.0, 12.0)	(5.0, 21.0)	(6.0, 33.0)	(7.0, 39.0)	(8.0, 60.0)	(9.0, 85.0)	(10.0, 123.0)	(11.0, 153.0)	(12.0, 288.0)	(13.0, 600.0)	(14.0, 1212.0)	(15.0, 3022.0)	(16.0, 6365.0)	(17.0, 10587.0)	(18.0, 15734.0)	(19.0, 22762.0)	(20.0, 31383.0)	(21.0, 42387.0)	(22.0, 55748.0)	(23.0, 73191.0)	(24.0, 96191.0)	(25.0, 125613.0)	(26.0, 162373.0)	(27.0, 204450.0)	(28.0, 246200.0)	(29.0, 277492.0)	(30.0, 298707.0)	(31.0, 309179.0)	(32.0, 309430.0)	(33.0, 300417.0)	(34.0, 275292.0)	(35.0, 234937.0)	(36.0, 185968.0)	(37.0, 140856.0)	(38.0, 101974.0)	(39.0, 66115.0)	(40.0, 36046.0)	(41.0, 14324.0)	(42.0, 3659.0)	(43.0, 546.0)	(44.0, 46.0)	(45.0, 1.0)							
dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenatedTrimLT-U0-D20W100L100R0	(0.0, 4.0)	(1.0, 2.0)	(2.0, 17.0)	(3.0, 41.0)	(4.0, 99.0)	(5.0, 139.0)	(6.0, 234.0)	(7.0, 345.0)	(8.0, 562.0)	(9.0, 654.0)	(10.0, 1061.0)	(11.0, 1128.0)	(12.0, 1566.0)	(13.0, 2082.0)	(14.0, 2765.0)	(15.0, 3585.0)	(16.0, 4709.0)	(17.0, 6128.0)	(18.0, 8488.0)	(19.0, 11181.0)	(20.0, 28499.0)	(21.0, 45099.0)	(22.0, 55121.0)	(23.0, 70830.0)	(24.0, 90696.0)	(25.0, 118556.0)	(26.0, 154624.0)	(27.0, 196287.0)	(28.0, 239748.0)	(29.0, 273174.0)	(30.0, 297484.0)	(31.0, 310116.0)	(32.0, 312877.0)	(33.0, 306475.0)	(34.0, 282814.0)	(35.0, 242710.0)	(36.0, 192634.0)	(37.0, 145651.0)	(38.0, 105086.0)	(39.0, 67865.0)	(40.0, 36910.0)	(41.0, 14633.0)	(42.0, 3724.0)	(43.0, 559.0)	(44.0, 45.0)	(45.0, 1.0)				
restranded_dorado_trimmed_FBA43334_fail_6846ed3b_6b29293f_concatenated	(1.0, 2597.0)	(2.0, 1189.0)	(3.0, 1086.0)	(4.0, 1569.0)	(5.0, 2174.0)	(6.0, 2888.0)	(7.0, 4791.0)	(8.0, 7157.0)	(9.0, 7918.0)	(10.0, 6756.0)	(11.0, 5493.0)	(12.0, 4873.0)	(13.0, 4897.0)	(14.0, 4412.0)	(15.0, 3712.0)	(16.0, 3145.0)	(17.0, 3143.0)	(18.0, 3353.0)	(19.0, 3521.0)	(20.0, 3672.0)	(21.0, 3706.0)	(22.0, 3675.0)	(23.0, 3615.0)	(24.0, 3360.0)	(25.0, 2892.0)	(26.0, 2408.0)	(27.0, 1835.0)	(28.0, 1305.0)	(29.0, 823.0)	(30.0, 411.0)	(31.0, 167.0)	(32.0, 40.0)	(33.0, 12.0)	(34.0, 6.0)	(35.0, 5.0)	(36.0, 1.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 1.0)	(40.0, 1.0)										
