Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
chopper_filtered_dorado_trimmed_FBA43334_pass_6846ed3b_6b29293f_concatenated	(1.0, 34.879496118033565)	(2.0, 2.8860088311884406)	(3.0, 1.3932094361030742)	(4.0, 0.9010327889539362)	(5.0, 0.6758321235070381)	(6.0, 0.5368982232643338)	(7.0, 0.4332407286680268)	(8.0, 0.38744360610095147)	(9.0, 0.3417574302293452)	('>10', 4.49811651294829)	('>50', 1.7665432548451179)	('>100', 4.280992592923482)	('>500', 2.0945404427128644)	('>1k', 3.7869678783050627)	('>5k', 2.5881367796434804)	('>10k+', 38.549783252573036)
chopper_filtered_dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenated	(1.0, 44.76475291215464)	(2.0, 4.571992831881022)	(3.0, 2.271794597570462)	(4.0, 1.4096475022873194)	(5.0, 1.0588365992428017)	(6.0, 0.8295233322949714)	(7.0, 0.6857752404587413)	(8.0, 0.578729880957248)	(9.0, 0.4833678745667977)	('>10', 6.032935684687823)	('>50', 2.0667140135774846)	('>100', 4.46029553798564)	('>500', 2.0263680148341656)	('>1k', 4.377703045426014)	('>5k', 1.2680751326106883)	('>10k+', 23.113487799464146)
dorado_FBA62655_pass_9d20541a_79aab80e_concatenated	(1.0, 64.07003107716504)	(2.0, 5.453845708588682)	(3.0, 2.8486355450147536)	(4.0, 1.9082938157493199)	(5.0, 1.4387872899976117)	(6.0, 1.1098103434607374)	(7.0, 0.939021537692828)	(8.0, 0.7771655342221367)	(9.0, 0.7109853973596578)	('>10', 9.000526782407919)	('>50', 3.1276426634708456)	('>100', 5.454723388921589)	('>500', 1.5366374350116219)	('>1k', 1.484378018493447)	('>5k', 0.1395154624438026)	('>10k+', 0.0)
dorado_trim_full_length_pychopper_output.FAZ80247_pass_03069096_5394ef1c_concatenated	(1.0, 25.092970079111875)	(2.0, 4.189295706688243)	(3.0, 2.4032074173207354)	(4.0, 1.7125848643775194)	(5.0, 1.3155966445403253)	(6.0, 1.1095384880563293)	(7.0, 0.9506289175573323)	(8.0, 0.8718747770917036)	(9.0, 0.7604751183178927)	('>10', 12.508767846639765)	('>50', 5.524053939334678)	('>100', 13.086570600307848)	('>500', 5.604553558124998)	('>1k', 11.84942013646139)	('>5k', 5.0446362437396335)	('>10k+', 7.9758256623298065)
dorado_trimmed_FAZ80247_pass_03069096_5394ef1c_concatenated	(1.0, 61.10609755719476)	(2.0, 4.6819924786204306)	(3.0, 1.4969564356532967)	(4.0, 0.9667121914610293)	(5.0, 0.8022539544576374)	(6.0, 0.681377239740385)	(7.0, 0.5377365671733452)	(8.0, 0.46719974023636324)	(9.0, 0.4439534826283145)	('>10', 6.921325899001858)	('>50', 3.4239558888161805)	('>100', 9.089161659275922)	('>500', 4.038595715404439)	('>1k', 3.8680350578012264)	('>5k', 1.0761889173456454)	('>10k+', 0.3984572151892191)
dorado_trimmed_FAZ83542_pass_1344a466_45031b9d_concatenated	(1.0, 62.79334399213663)	(2.0, 3.640649965934696)	(3.0, 1.5210034597377762)	(4.0, 1.065285540754083)	(5.0, 0.8230840583260757)	(6.0, 0.6112566228215277)	(7.0, 0.5873821553182346)	(8.0, 0.4964984299613434)	(9.0, 0.41935083831857767)	('>10', 7.2034288211263595)	('>50', 3.4184690786540504)	('>100', 8.999227979804287)	('>500', 3.497617500593871)	('>1k', 3.340918546958952)	('>5k', 1.1961128580355262)	('>10k+', 0.3863701515180028)
dorado_trimmed_FBA43334_fail_6846ed3b_6b29293f_concatenated	(1.0, 44.035812462154375)	(2.0, 0.5174063886951981)	(3.0, 0.1362369858923521)	(4.0, 0.06716587915076487)	(5.0, 0.047552290003000444)	(6.0, 0.029930464386228182)	(7.0, 0.025948137693002523)	(8.0, 0.018461194921986494)	(9.0, 0.012832904590153335)	('>10', 0.22090534445642143)	('>50', 0.07691108914322799)	('>100', 0.35476068650602094)	('>500', 0.15274476001182025)	('>1k', 0.5090801347653857)	('>5k', 0.0)	('>10k+', 53.79425127763008)
dorado_trimmed_FBA43334_pass_6846ed3b_6b29293f_concatenated	(1.0, 35.208542589268134)	(2.0, 2.896408887704558)	(3.0, 1.396338882909974)	(4.0, 0.9133437488100801)	(5.0, 0.6742683141971536)	(6.0, 0.535106045865263)	(7.0, 0.43259649166777087)	(8.0, 0.3900189461402705)	(9.0, 0.34128281183611436)	('>10', 4.505926639460417)	('>50', 1.7581191277957886)	('>100', 4.263293169899828)	('>500', 2.0648205102887793)	('>1k', 3.798758310878996)	('>5k', 2.5682680369944646)	('>10k+', 38.252907486282425)
dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenated	(1.0, 45.08433662442906)	(2.0, 4.554719577935096)	(3.0, 2.2690791487473376)	(4.0, 1.4050377491400803)	(5.0, 1.045528510437994)	(6.0, 0.8332301493790247)	(7.0, 0.6859900365366184)	(8.0, 0.5762403419220362)	(9.0, 0.48329050082059544)	('>10', 6.01529799089189)	('>50', 2.0549321153326416)	('>100', 4.432073008645668)	('>500', 2.0115412514835747)	('>1k', 4.3454650938201205)	('>5k', 1.2586538249067853)	('>10k+', 22.944584075571413)
dorado_trimmed_FBA62655_pass_9d20541a_79aab80e_concatenatedTrimLT-U0-D20W100L100R0	(1.0, 43.97425347770181)	(2.0, 4.661438985166066)	(3.0, 2.3141913239286853)	(4.0, 1.4531912475074806)	(5.0, 1.134913949046611)	(6.0, 0.8509567705229896)	(7.0, 0.7037510462516415)	(8.0, 0.6134227375892184)	(9.0, 0.5055814752605604)	('>10', 6.238727075017536)	('>50', 2.053677538250489)	('>100', 4.488802767005259)	('>500', 2.0416680369664033)	('>1k', 4.410624473867714)	('>5k', 1.2777743172768594)	('>10k+', 23.277024778640648)
restranded_dorado_trimmed_FBA43334_fail_6846ed3b_6b29293f_concatenated	(1.0, 80.5056086698048)	(2.0, 0.9083023906285024)	(3.0, 0.4707189427827968)	(4.0, 0.32745665584890216)	(5.0, 0.28262628034577864)	(6.0, 0.19881296962254774)	(7.0, 0.08186416396222554)	(8.0, 0.10135563157227924)	(9.0, 0.07894044382071748)	('>10', 1.8926215049362143)	('>50', 0.7972010252511963)	('>100', 2.296094884464326)	('>500', 2.7502460797785773)	('>1k', 9.308150357181145)	('>5k', 0.0)	('>10k+', 0.0)
