Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
ACTR3--SAG,ACTR3,SAG,PR-ikicQY,6,2170,0.10238899637742611,1,3,2,+/+,+/-,out-of-frame
AOX1--KCTD18,AOX1,KCTD18,PR-ikicQY,13,129,0.22184282548442325,2,6,5,+/-,-/-,.
ARHGAP11B--OTUD7A,ARHGAP11B,OTUD7A,PR-ikicQY,3,81,0.05119449818871306,2,0,1,+/+,-/-,.
ARHGEF35--ARHGEF35,ARHGEF35,ARHGEF35,PR-ikicQY,11,85,0.1877131600252812,4,7,0,-/-,-/-,out-of-frame
CD177--PSG9,PSG9,CD177,PR-ikicQY,6,44,0.10238899637742611,0,4,2,-/+,+/+,.
CFL1--LDHA,LDHA,CFL1,PR-ikicQY,32,44539,0.5460746473462726,5,3,24,+/.,-/.,.
CGB5--NTF6G,NTF6G,CGB5,PR-ikicQY,20,355,0.3412966545914204,10,0,10,+/+,+/+,.
DAZAP1--MYO1F,MYO1F,DAZAP1,PR-ikicQY,3,68,0.05119449818871306,0,1,2,-/-,+/-,.
FBXL7--TRIO,FBXL7,TRIO,PR-ikicQY,2,403,0.03412966545914204,1,1,0,+/+,+/+,in-frame
GNB1--GNB2,GNB2,GNB1,PR-ikicQY,2,4430,0.03412966545914204,0,1,1,+/+,-/-,in-frame
HNRNPA1--HNRNPA3,HNRNPA3,HNRNPA1,PR-ikicQY,2,17423,0.03412966545914204,1,1,0,+/+,+/+,in-frame
KIF20B--KIF20B,KIF20B,KIF20B,PR-ikicQY,50,335,0.853241636478551,26,24,0,+/+,+/+,in-frame
KRT8--VIM,KRT8,VIM,PR-ikicQY,14,33866,0.23890765821399426,2,4,8,-/-,+/+,in-frame
KRT8--VIM,VIM,KRT8,PR-ikicQY,2,32703,0.03412966545914204,0,1,1,+/+,-/-,in-frame
LINC00474--PAPPA,PAPPA,LINC00474,PR-ikicQY,8,91,0.13651866183656816,1,3,4,+/+,-/+,out-of-frame
MYO1F--ZNF486,ZNF486,MYO1F,PR-ikicQY,5,61,0.0853241636478551,0,3,2,+/+,-/-,in-frame
NKRF--UGDH,UGDH,NKRF,PR-ikicQY,2,502,0.03412966545914204,1,0,1,-/-,-/-,out-of-frame
ROCK1--TICAM2,ROCK1,TICAM2,PR-ikicQY,2,229,0.03412966545914204,0,2,0,-/-,-/-,out-of-frame
