Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
AC000068.5--ACOT11,ACOT11,UFD1-AS1,PR-KjmX3f,3,9,0.031810102004075656,0,1,2,+/.,+/.,.
AP1G1--ZNF19,ZNF19,AP1G1,PR-KjmX3f,15,292,0.1590505100203783,0,15,0,-/-,-/-,.
BIRC6--TTC27,BIRC6,TTC27,PR-KjmX3f,44,561,0.466548162726443,12,21,11,+/+,+/+,in-frame
C8orf44-SGK3--CDCA5,CDCA5,C8orf44-SGK3,PR-KjmX3f,3,249,0.031810102004075656,2,0,1,-/-,+/-,out-of-frame
CCDC7--ITGB1P1,ITGB1P1,CCDC7,PR-KjmX3f,7,11567,0.0742235713428432,1,3,3,-/-,+/-,.
CD177--PSG8,PSG8,CD177,PR-KjmX3f,16,276,0.16965387735507018,4,9,3,-/+,+/+,.
CDCA5--SGK3,CDCA5,SGK3,PR-KjmX3f,3,249,0.031810102004075656,2,0,1,-/-,+/-,out-of-frame
CFAP221--SCTR-AS1,SCTR-AS1,CFAP221,PR-KjmX3f,11,1113,0.11663704068161075,2,2,7,+/+,+/+,.
CGB5--NTF6G,NTF6G,CGB5,PR-KjmX3f,35,3104,0.37111785671421604,14,6,15,+/+,+/+,.
CHKA--GRM5,CHKA,GRM5,PR-KjmX3f,14,667,0.1484471426856864,2,11,1,-/-,-/-,out-of-frame
CTTN--LIX1-AS1,CTTN,LIX1-AS1,PR-KjmX3f,35,13051,0.37111785671421604,25,10,0,+/+,+/-,out-of-frame
CTTN--UNC5D,CTTN,UNC5D,PR-KjmX3f,5,13039,0.05301683667345943,2,2,1,+/+,+/+,out-of-frame
DLG2--MYBL1,MYBL1,DLG2,PR-KjmX3f,9,109,0.09543030601222698,3,3,3,-/-,-/-,.
ENPP7P8--MAML2,MAML2,ENPP7P8,PR-KjmX3f,11,72,0.11663704068161075,0,7,4,-/-,+/+,out-of-frame
FGFR1--FSIP1,FGFR1,FSIP1,PR-KjmX3f,10,467,0.10603367334691886,3,4,3,-/-,-/-,out-of-frame
FRMD8--FRMD8,FRMD8,FRMD8,PR-KjmX3f,49,272,0.5195649993999024,38,11,0,+/+,+/+,in-frame
KIF20B--KIF20B,KIF20B,KIF20B,PR-KjmX3f,18,186,0.19086061202445395,9,9,0,+/+,+/+,in-frame
LAMA5--LAMA5,LAMA5,LAMA5,PR-KjmX3f,118,2362,1.2511973454936425,50,68,0,-/-,-/-,out-of-frame
LINC00623--PDE4DIPP2,LINC00623,PDE4DIPP2,PR-KjmX3f,4,121,0.042413469338767544,1,0,3,+/+,-/+,.
LINC00623--SEC22B3P,LINC00623,SEC22B3P,PR-KjmX3f,4,796,0.042413469338767544,0,1,3,+/+,-/-,.
LINC01138--SEC22B2P,LINC01138,SEC22B2P,PR-KjmX3f,3,603,0.031810102004075656,0,3,0,-/-,+/+,.
MFSD14B--ZNF782,MFSD14B,ZNF782,PR-KjmX3f,4,329,0.042413469338767544,0,4,0,+/+,-/-,out-of-frame
MGST2--SETD7,SETD7,MGST2,PR-KjmX3f,3,1650,0.031810102004075656,0,1,2,-/+,+/+,.
MYBL1--STAU2,STAU2,MYBL1,PR-KjmX3f,14,574,0.1484471426856864,4,5,5,-/-,-/-,in-frame
MYL12B--TGIF1,MYL12B,TGIF1,PR-KjmX3f,12,409,0.12724040801630263,0,4,8,+/+,+/+,out-of-frame
OLFML2A--TAOK1,TAOK1,OLFML2A,PR-KjmX3f,11,261,0.11663704068161075,6,3,2,+/+,+/+,.
PPP6R3--PRDM11,PPP6R3,PRDM11,PR-KjmX3f,3,357,0.031810102004075656,0,3,0,+/+,+/-,.
SHOX--TMEM190,SHOX,TMEM190,PR-KjmX3f,5,174,0.05301683667345943,1,4,0,+/+,+/+,.
SLC25A5--SLC25A6,SLC25A6,SLC25A5,PR-KjmX3f,3,30272,0.031810102004075656,2,0,1,-/-,+/+,in-frame
