Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
ABCD1--HDX,HDX,ABCD1,PR-cNXG9u,6,222,0.07554961875458846,3,1,2,-/-,+/+,out-of-frame
ARHGEF35--ARHGEF35,ARHGEF35,ARHGEF35,PR-cNXG9u,11,120,0.13850763438341218,2,9,0,-/-,-/-,out-of-frame
ATRX--HAX1P1,ATRX,HAX1P1,PR-cNXG9u,5,786,0.06295801562882372,0,2,3,-/-,-/-,out-of-frame
BOLA2B--SMG1P5,BOLA2B,SMG1P5,PR-cNXG9u,5,1056,0.06295801562882372,0,1,4,-/-,-/-,out-of-frame
CD99L2--ZNF280C,CD99L2,ZNF280C,PR-cNXG9u,3,347,0.03777480937729423,3,0,0,-/-,-/-,out-of-frame
ERICH5--MATN2,MATN2,ERICH5,PR-cNXG9u,16,468,0.2014656500122359,5,4,7,+/+,+/+,in-frame
EYS--HELLS,HELLS,EYS,PR-cNXG9u,30,817,0.3777480937729423,6,11,13,+/+,-/-,out-of-frame
HMGB1P1--USPL1,USPL1,HMGB1P1,PR-cNXG9u,3,115,0.03777480937729423,2,0,1,+/.,-/.,.
KRT7--VIM,KRT7,VIM,PR-cNXG9u,3,70897,0.03777480937729423,2,0,1,+/+,+/+,in-frame
KRT7--VIM,VIM,KRT7,PR-cNXG9u,2,68137,0.025183206251529488,1,1,0,+/+,+/+,in-frame
SFT2D3--SFT2D3,SFT2D3,SFT2D3,PR-cNXG9u,17,148,0.21405725313800064,11,6,0,+/+,+/+,in-frame
SIMC1--SIMC1,SIMC1,SIMC1,PR-cNXG9u,10,158,0.12591603125764744,1,9,0,+/+,+/+,in-frame
SLC25A5--SLC25A6,SLC25A6,SLC25A5,PR-cNXG9u,3,9671,0.03777480937729423,1,1,1,-/-,+/+,in-frame
