Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
ACIN1--ACIN1,ACIN1,ACIN1,PR-xGCID2,60,671,1.0885352528128567,27,33,0,-/-,-/-,in-frame
ADAMTS6--TDRD5,ADAMTS6,TDRD5,PR-xGCID2,7,26,0.1269957794948333,0,7,0,-/-,+/+,.
ARHGEF35--ARHGEF35,ARHGEF35,ARHGEF35,PR-xGCID2,15,120,0.27213381320321417,9,6,0,-/-,-/-,out-of-frame
BTNL8--NPM1,NPM1,BTNL8,PR-xGCID2,20,4074,0.36284508427095225,2,3,15,+/+,+/-,out-of-frame
CALM2--CALM3,CALM3,CALM2,PR-xGCID2,6,31602,0.10885352528128567,2,4,0,+/+,-/-,in-frame
CAMTA1--RERE,RERE,CAMTA1,PR-xGCID2,14,90,0.2539915589896666,1,1,12,-/-,+/-,.
CLIC4--CTSLP8,CTSLP8,CLIC4,PR-xGCID2,6,73,0.10885352528128567,1,5,0,+/+,+/+,.
ELMO1--REPS1,REPS1,ELMO1,PR-xGCID2,4,101,0.07256901685419045,2,1,1,-/-,-/-,in-frame
EML1--SETD3,EML1,SETD3,PR-xGCID2,25,310,0.4535563553386903,10,11,4,+/+,-/-,out-of-frame
EML1--SETD3,SETD3,EML1,PR-xGCID2,2,157,0.03628450842709523,1,1,0,-/-,+/+,.
EML1--SETD3,SETD3,EML1,PR-xGCID2,13,252,0.23584930477611896,1,5,7,-/-,+/+,out-of-frame
FBXO25--LINC02193,FBXO25,LINC02193,PR-xGCID2,2,87,0.03628450842709523,0,1,1,+/+,+/+,out-of-frame
GUSB--ITPRID1,GUSB,ITPRID1,PR-xGCID2,6,355,0.10885352528128567,3,0,3,-/-,+/+,in-frame
HECW1--UTRN,UTRN,HECW1,PR-xGCID2,3,241,0.054426762640642834,2,0,1,+/+,+/+,out-of-frame
IRF1--TBC1D32,TBC1D32,IRF1,PR-xGCID2,2,12,0.03628450842709523,0,2,0,-/-,-/-,.
KIAA1328--TPGS2,TPGS2,KIAA1328,PR-xGCID2,11,137,0.19956479634902374,3,0,8,-/-,+/-,.
KIF20B--KIF20B,KIF20B,KIF20B,PR-xGCID2,17,142,0.3084183216303094,10,7,0,+/+,+/+,in-frame
LINC02015--SHROOM3,SHROOM3,LINC02015,PR-xGCID2,37,195,0.6712634059012617,8,24,5,+/+,+/-,out-of-frame
NPM1--ZFP62,NPM1,ZFP62,PR-xGCID2,24,4245,0.43541410112514267,9,9,6,+/+,-/-,out-of-frame
PDCD6--PDCD6,PDCD6,PDCD6,PR-xGCID2,4,27,0.07256901685419045,0,3,1,+/.,+/.,.
SLC25A5--SLC25A6,SLC25A6,SLC25A5,PR-xGCID2,2,11789,0.03628450842709523,1,1,0,-/-,+/+,in-frame
SLC9A9--TRMT10C,TRMT10C,SLC9A9,PR-xGCID2,2,350,0.03628450842709523,1,1,0,+/+,-/+,.
