Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
ACIN1--ACIN1,ACIN1,ACIN1,PR-0ZqBjs,84,580,1.359454188206463,20,64,0,-/-,-/-,in-frame
AIF1--CFB,CFB,AIF1,PR-0ZqBjs,3,418,0.04855193529308797,0,3,0,+/+,+/+,out-of-frame
ARHGAP5--NUBPL,ARHGAP5,NUBPL,PR-0ZqBjs,39,1547,0.6311751588101435,1,4,34,+/+,+/+,in-frame
ARHGAP5--NUBPL,ARHGAP5,NUBPL,PR-0ZqBjs,111,2018,1.7964216058442548,27,29,55,+/+,+/+,out-of-frame
ARHGEF2--SMG5,ARHGEF2,SMG5,PR-0ZqBjs,59,954,0.95485472743073,22,12,25,-/-,-/-,out-of-frame
ARHGEF35--ARHGEF35,ARHGEF35,ARHGEF35,PR-0ZqBjs,10,247,0.16183978431029322,3,7,0,-/-,-/-,out-of-frame
BOLA2B--SMG1P5,BOLA2B,SMG1P5,PR-0ZqBjs,4,1104,0.06473591372411729,1,0,3,-/-,-/-,out-of-frame
BTC--EREG,EREG,BTC,PR-0ZqBjs,3,61,0.04855193529308797,1,0,2,+/-,-/-,.
CGB5--NTF6G,NTF6G,CGB5,PR-0ZqBjs,72,2562,1.165246447034111,35,7,30,+/+,+/+,.
CYP1B1--PTPN1,PTPN1,CYP1B1,PR-0ZqBjs,33,2839,0.5340712882239677,15,12,6,+/+,-/-,out-of-frame
DAB1--DAB1,DAB1,DAB1,PR-0ZqBjs,3,91,0.04855193529308797,2,1,0,-/-,-/+,.
DAB1--OMA1,DAB1,OMA1,PR-0ZqBjs,3,91,0.04855193529308797,2,1,0,-/-,-/+,.
DAB1--OMA1,OMA1,DAB1,PR-0ZqBjs,3,91,0.04855193529308797,2,1,0,-/-,-/+,.
DIS3L--FAM81A,DIS3L,FAM81A,PR-0ZqBjs,3,66,0.04855193529308797,0,1,2,+/+,+/-,out-of-frame
DNAH14--TXNL4A,DNAH14,TXNL4A,PR-0ZqBjs,2,690,0.03236795686205864,2,0,0,+/+,-/-,out-of-frame
EIF3B--IQCE,IQCE,EIF3B,PR-0ZqBjs,72,1358,1.165246447034111,0,1,71,+/+,+/+,.
EIF3B--IQCE,IQCE,EIF3B,PR-0ZqBjs,239,5151,3.867970845016008,35,73,131,+/+,+/+,in-frame
FAM222B--PHF12,FAM222B,PHF12,PR-0ZqBjs,3,144,0.04855193529308797,0,3,0,-/-,-/-,.
FARP1--STK24,STK24,FARP1,PR-0ZqBjs,23,241,0.3722315039136744,2,13,8,-/-,+/-,out-of-frame
GAB2--ZFAND3,ZFAND3,GAB2,PR-0ZqBjs,4,79,0.06473591372411729,3,1,0,+/+,-/+,out-of-frame
GAB2--ZFAND3,ZFAND3,GAB2,PR-0ZqBjs,8,89,0.12947182744823457,1,6,1,+/+,-/-,out-of-frame
KLHL20--SRGAP2,KLHL20,SRGAP2,PR-0ZqBjs,7,208,0.11328784901720525,5,0,2,+/+,+/+,out-of-frame
KRT8--VIM,KRT8,VIM,PR-0ZqBjs,7,40220,0.11328784901720525,2,3,2,-/-,+/+,in-frame
LINC01138--SEC22B2P,LINC01138,SEC22B2P,PR-0ZqBjs,3,246,0.04855193529308797,0,3,0,-/-,+/+,.
MIR548XHG--MIR99AHG,MIR548XHG,MIR99AHG,PR-0ZqBjs,3,79,0.04855193529308797,2,1,0,-/-,+/+,.
MRTFA--TNRC6B,MRTFA,TNRC6B,PR-0ZqBjs,31,98,0.5017033313619089,9,3,19,-/-,+/-,.
NEO1--TUBGCP5,NEO1,TUBGCP5,PR-0ZqBjs,28,108,0.453151396068821,6,10,12,+/+,-/+,out-of-frame
NUP50--NUP50-DT,NUP50,NUP50-DT,PR-0ZqBjs,24,577,0.38841548234470374,9,9,6,+/+,-/+,out-of-frame
OMA1--OMA1,OMA1,OMA1,PR-0ZqBjs,3,91,0.04855193529308797,2,1,0,-/-,-/+,.
PATJ--PDE4B,PATJ,PDE4B,PR-0ZqBjs,4,87,0.06473591372411729,3,1,0,+/+,+/+,out-of-frame
PATJ--PDE4B,PATJ,PDE4B,PR-0ZqBjs,5,86,0.08091989215514661,2,2,1,+/+,+/-,out-of-frame
PATJ--SGIP1,PATJ,SGIP1,PR-0ZqBjs,3,88,0.04855193529308797,2,0,1,+/+,+/-,out-of-frame
PHC2--YARS1,PHC2,YARS1,PR-0ZqBjs,7,612,0.11328784901720525,2,5,0,-/-,-/-,out-of-frame
PTPRT-AS1--TSHZ2,TSHZ2,PTPRT-AS1,PR-0ZqBjs,3,172,0.04855193529308797,1,1,1,+/+,+/+,out-of-frame
PTPRT-AS1--TSHZ2,TSHZ2,PTPRT-AS1,PR-0ZqBjs,3,181,0.04855193529308797,1,0,2,+/+,+/+,stop-codon
RBCK1--TRIB3,TRIB3,RBCK1,PR-0ZqBjs,24,657,0.38841548234470374,3,7,14,+/+,+/+,.
RP11-384F7.2--ZFAND3,LINC03051,ZFAND3,PR-0ZqBjs,5,169,0.08091989215514661,2,0,3,-/-,+/+,.
RP11-47I22.3--SYT16,SYT16,LINC03033,PR-0ZqBjs,7,556,0.11328784901720525,0,5,2,+/+,+/+,.
RP11-592N21.1--XRCC5,XRCC5,RPL17P39,PR-0ZqBjs,207,2584,3.3500835352230696,67,61,79,+/+,-/-,out-of-frame
