Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
AHSP--USP43,USP43,AHSP,PR-JYetfI,17,391,0.19250906680901467,6,5,6,+/+,+/+,.
AHSP--USP43,USP43,AHSP,PR-JYetfI,197,520,2.230840362433876,31,80,86,+/+,+/+,out-of-frame
ALKBH3--SLC35F1,ALKBH3,SLC35F1,PR-JYetfI,8,295,0.09059250202777161,1,3,4,+/+,+/-,out-of-frame
ANKRD34A--RNF115,RNF115,ANKRD34A,PR-JYetfI,30,396,0.33972188260414354,14,8,8,-/-,-/-,out-of-frame
ARHGEF35--ARHGEF35,ARHGEF35,ARHGEF35,PR-JYetfI,13,141,0.14721281579512885,5,8,0,-/-,-/-,out-of-frame
B9D1--DNAH9,DNAH9,B9D1,PR-JYetfI,4,826,0.045296251013885805,2,0,2,+/-,-/-,.
BOLA2B--SMG1P5,BOLA2B,SMG1P5,PR-JYetfI,14,1467,0.15853687854860032,1,0,13,-/-,-/-,out-of-frame
BRCC3--PTPRB,BRCC3,PTPRB,PR-JYetfI,41,215,0.4642865728923295,14,16,11,+/+,-/-,out-of-frame
CCDC57--CSNK1D,CCDC57,CSNK1D,PR-JYetfI,11,1970,0.12456469028818595,2,8,1,-/-,-/-,.
CCDC88A--PNPT1,CCDC88A,PNPT1,PR-JYetfI,14,1610,0.15853687854860032,5,2,7,-/-,-/-,out-of-frame
CDC25B--MAVS,MAVS,CDC25B,PR-JYetfI,26,394,0.2944256315902577,0,26,0,+/+,+/+,.
CGB5--NTF6G,NTF6G,CGB5,PR-JYetfI,14,217,0.15853687854860032,2,1,11,+/+,+/+,.
CHD2--CHD2,CHD2,CHD2,PR-JYetfI,4,414,0.045296251013885805,2,0,2,+/+,+/-,out-of-frame
CKB--TRMT61A,TRMT61A,CKB,PR-JYetfI,13,913,0.14721281579512885,6,4,3,+/+,-/+,.
CLINT1--CLINT1,CLINT1,CLINT1,PR-JYetfI,7,82,0.07926843927430016,0,2,5,-/-,-/-,.
FGF12--MB21D2,MB21D2,FGF12,PR-JYetfI,3,171,0.03397218826041435,0,3,0,-/-,-/-,in-frame
GNB1L--SEPTIN5,GNB1L,SEPTIN5,PR-JYetfI,41,1254,0.4642865728923295,15,15,11,-/-,+/+,in-frame
GREB1L--TULP3,GREB1L,TULP3,PR-JYetfI,28,319,0.31707375709720065,10,12,6,+/+,+/+,in-frame
GREB1L--TULP3,GREB1L,TULP3,PR-JYetfI,8,191,0.09059250202777161,0,1,7,+/+,+/+,out-of-frame
HMGB1P1--USPL1,USPL1,HMGB1P1,PR-JYetfI,5,130,0.05662031376735725,4,1,0,+/.,-/.,.
LIMA1--RACGAP1,RACGAP1,LIMA1,PR-JYetfI,4,1626,0.045296251013885805,1,3,0,-/-,-/-,.
LINC01145--SRGAP2C,SRGAP2C,LINC01145,PR-JYetfI,3,249,0.03397218826041435,1,0,2,+/+,-/+,out-of-frame
LRCH3--PAK2,LRCH3,PAK2,PR-JYetfI,4,690,0.045296251013885805,0,2,2,+/+,+/+,out-of-frame
LZTR1--ZDHHC8,ZDHHC8,LZTR1,PR-JYetfI,3,1980,0.03397218826041435,2,1,0,+/+,+/+,in-frame
MEF2A--MEF2A,MEF2A,MEF2A,PR-JYetfI,17,333,0.19250906680901467,1,16,0,+/+,+/+,in-frame
MID1--RP11-120D5.1,HCCS-DT,MID1,PR-JYetfI,5,69,0.05662031376735725,0,1,4,-/-,-/-,.
MIGA1--USP33,MIGA1,USP33,PR-JYetfI,47,575,0.5322309494131582,14,26,7,+/-,-/-,.
MIGA1--ZZZ3,ZZZ3,MIGA1,PR-JYetfI,31,294,0.35104594535761496,17,10,4,-/-,+/-,.
PDCD6--PDCD6,PDCD6,PDCD6,PR-JYetfI,6,89,0.0679443765208287,0,3,3,+/.,+/.,.
PGBD2--TCAF1,PGBD2,TCAF1,PR-JYetfI,4,284,0.045296251013885805,2,2,0,+/+,-/-,.
PGM5P4--PTCD3,PTCD3,PGM5P4,PR-JYetfI,61,627,0.6907678279617585,22,11,28,+/+,+/-,out-of-frame
SHOX--TMEM190,SHOX,TMEM190,PR-JYetfI,5,259,0.05662031376735725,1,4,0,+/+,+/+,.
SKP2--TTC23L,SKP2,TTC23L,PR-JYetfI,12,669,0.1358887530416574,6,3,3,+/+,+/+,in-frame
SKP2--TTC23L,SKP2,TTC23L,PR-JYetfI,2,650,0.022648125506942902,1,0,1,+/+,+/+,out-of-frame
SLC25A5--SLC25A6,SLC25A6,SLC25A5,PR-JYetfI,8,40715,0.09059250202777161,1,6,1,-/-,+/+,in-frame
UBE2D2--UBE2D2,UBE2D2,UBE2D2,PR-JYetfI,391,2913,4.427708536607337,137,254,0,+/+,+/+,out-of-frame
USP33--ZZZ3,ZZZ3,USP33,PR-JYetfI,8,611,0.09059250202777161,1,2,5,-/-,-/-,.
ZNF268--ZNF385D,ZNF268,ZNF385D,PR-JYetfI,27,57,0.3057496943437292,10,10,7,+/+,-/-,.
