Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
BMPER--FRG1JP,BMPER,FRG1JP,PR-uc6NbL,5,492,0.05041756380940148,1,2,2,+/+,-/+,out-of-frame
BMPER--NPSR1-AS1,BMPER,NPSR1-AS1,PR-uc6NbL,180,607,1.8150322971384534,93,45,42,+/+,-/+,out-of-frame
CPT1A--PPP6R3,CPT1A,PPP6R3,PR-uc6NbL,16,1715,0.16133620419008474,3,10,3,-/-,+/-,.
DPY19L1P2--ZNRF2P2,ZNRF2P2,DPY19L1P2,PR-uc6NbL,3,76,0.03025053828564089,0,3,0,-/-,+/+,.
GCC2-AS1--LIMS3,GCC2-AS1,LIMS3,PR-uc6NbL,3,103,0.03025053828564089,1,2,0,-/+,+/+,.
IKBKB--IKBKB,IKBKB,IKBKB,PR-uc6NbL,3,20,0.03025053828564089,2,0,1,+/.,+/.,.
KRT7--KRT8,KRT8,KRT7,PR-uc6NbL,4,37580,0.040334051047521184,2,0,2,-/-,+/+,in-frame
