Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
AACSP1--ZNF354A,AACSP1,ZNF354A,PR-XZjZJc,6,780,0.06747990220767586,1,1,4,-/-,-/-,.
AC000068.5--ACOT11,ACOT11,UFD1-AS1,PR-XZjZJc,4,23,0.044986601471783905,1,2,1,+/.,+/.,.
AHCY--MSANTD2,MSANTD2,AHCY,PR-XZjZJc,37,1764,0.4161260636140011,8,10,19,-/-,-/-,.
ANKRD11--ANKRD11,ANKRD11,ANKRD11,PR-XZjZJc,107,572,1.2033915893702194,60,31,16,-/-,-/+,out-of-frame
ARHGAP33--SBSN,ARHGAP33,SBSN,PR-XZjZJc,17,174,0.1911930562550816,6,5,6,+/+,-/+,out-of-frame
ATP5MC3--RPS18P12,RPS18P12,ATP5MC3,PR-XZjZJc,4,11599,0.044986601471783905,0,1,3,-/+,-/-,.
CACNA1D--CHDH,CHDH,CACNA1D,PR-XZjZJc,25,63,0.2811662591986494,4,12,9,-/-,+/-,.
CHEK2--TTC28,CHEK2,TTC28,PR-XZjZJc,42,105,0.472359315453731,19,3,20,-/-,-/-,stop-codon
CIB3--LINC00662,LINC00662,CIB3,PR-XZjZJc,144,1981,1.6195176529842206,30,14,100,-/-,-/-,.
CNTNAP4--NAV3,NAV3,CNTNAP4,PR-XZjZJc,3,1469,0.03373995110383793,0,2,1,+/+,+/+,out-of-frame
CTBP2P1--KMT2C,KMT2C,CTBP2P1,PR-XZjZJc,4,461,0.044986601471783905,1,3,0,-/-,+/+,out-of-frame
CUX1--SEMA3A,CUX1,SEMA3A,PR-XZjZJc,3,259,0.03373995110383793,1,0,2,+/+,-/-,out-of-frame
DMKN--KMT2B,KMT2B,DMKN,PR-XZjZJc,66,492,0.7422789242844344,21,20,25,+/+,-/-,out-of-frame
FAM230C--RP4-614C10.3,KMT2CP4,FAM230C,PR-XZjZJc,4,667,0.044986601471783905,1,1,2,-/-,+/+,.
GNAS--ROBO2,ROBO2,GNAS,PR-XZjZJc,3,12751,0.03373995110383793,2,0,1,+/+,+/+,in-frame
HNRNPA1--HNRNPA3,HNRNPA1,HNRNPA3,PR-XZjZJc,2,40895,0.022493300735891952,1,0,1,+/+,+/+,in-frame
KDM4C--PARD6G,KDM4C,PARD6G,PR-XZjZJc,36,122,0.40487941324605514,12,14,10,+/+,-/-,in-frame
LINC02700--PABPC1,LINC02700,PABPC1,PR-XZjZJc,72,6284,0.8097588264921103,1,71,0,+/+,-/-,.
NFIC--PIP5K1C,PIP5K1C,NFIC,PR-XZjZJc,29,325,0.3261528606704333,1,20,8,-/-,+/+,in-frame
NPEPPS--TBC1D3C,NPEPPS,TBC1D3C,PR-XZjZJc,3,1059,0.03373995110383793,0,1,2,+/+,-/-,out-of-frame
NTHL1--PKD1,PKD1,NTHL1,PR-XZjZJc,3,968,0.03373995110383793,1,1,1,-/-,-/-,in-frame
PARD3--PLEKHA2,PARD3,PLEKHA2,PR-XZjZJc,104,758,1.1696516382663815,40,29,35,-/-,+/+,in-frame
PKD1--TSC2,PKD1,TSC2,PR-XZjZJc,129,192,1.450817897465031,1,14,114,-/-,+/-,.
RNF40--SRCAP,RNF40,SRCAP,PR-XZjZJc,67,342,0.7535255746523803,29,14,24,+/+,+/-,.
SAE1--SHC2,SAE1,SHC2,PR-XZjZJc,6,3450,0.06747990220767586,3,2,1,+/+,-/-,out-of-frame
SAE1--SHC2,SAE1,SHC2,PR-XZjZJc,2,125,0.022493300735891952,1,0,1,+/+,-/-,stop-codon
SIN3B--ZNF121,ZNF121,SIN3B,PR-XZjZJc,200,1406,2.2493300735891952,7,168,25,-/-,+/+,.
SNAP91--ZNF680,ZNF680,SNAP91,PR-XZjZJc,232,1327,2.6092228853634665,34,60,138,-/-,-/-,.
SNAP91--ZNF680,ZNF680,SNAP91,PR-XZjZJc,40,500,0.44986601471783905,3,4,33,-/-,-/-,in-frame
SNAP91--ZNF680,ZNF680,SNAP91,PR-XZjZJc,66,1233,0.7422789242844344,14,7,45,-/-,-/-,out-of-frame
SREBF2--UBA2,UBA2,SREBF2,PR-XZjZJc,137,3292,1.5407911004085988,53,47,37,+/+,+/-,out-of-frame
