Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
ANK3--CISD1,CISD1,ANK3,PR-nnKvUV,5,352,0.08409899723551459,1,1,3,+/+,-/+,out-of-frame
CALHM3--CALHM3,CALHM3,CALHM3,PR-nnKvUV,18,82,0.3027563900478525,7,11,0,-/-,-/-,in-frame
ILRUN--SRPK1,SRPK1,ILRUN,PR-nnKvUV,32,44,0.5382335823072933,8,10,14,-/-,-/+,stop-codon
KIF20B--KIF20B,KIF20B,KIF20B,PR-nnKvUV,27,181,0.45413458507177873,17,10,0,+/+,+/+,in-frame
LINC00623--SEC22B3P,LINC00623,SEC22B3P,PR-nnKvUV,4,205,0.06727919778841167,0,2,2,+/+,-/-,.
MYLPF--ZNF771,ZNF771,MYL11,PR-nnKvUV,9,86,0.15137819502392624,2,3,4,+/+,+/+,in-frame
MYLPF--ZNF771,ZNF771,MYL11,PR-nnKvUV,5,75,0.08409899723551459,1,0,4,+/+,+/+,out-of-frame
TUBA1B--TUBA4A,TUBA1B,TUBA4A,PR-nnKvUV,7,61801,0.11773859612972042,1,4,2,-/-,-/-,in-frame
TUBA1B--TUBA4A,TUBA4A,TUBA1B,PR-nnKvUV,3,25184,0.05045939834130875,0,2,1,-/-,-/-,in-frame
