Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
KAT2B--PHACTR4,PHACTR4,KAT2B,PR-WKnuCo,2,136,0.05062947884191548,0,2,0,+/+,+/+,out-of-frame
LINC01116--OLA1,LINC01116,OLA1,PR-WKnuCo,16,1677,0.40503583073532384,6,5,5,-/-,-/-,.
MGAM--SP3,SP3,MGAM,PR-WKnuCo,9,329,0.22783265478861964,4,1,4,-/-,+/+,in-frame
MYEOV--SMIM38,MYEOV,SMIM38,PR-WKnuCo,3,55,0.07594421826287322,2,1,0,+/+,+/+,.
NCOA3--TASP1,NCOA3,TASP1,PR-WKnuCo,3,130,0.07594421826287322,0,2,1,+/+,-/-,.
SF3B2--SF3B2,SF3B2,SF3B2,PR-WKnuCo,17,398,0.43035057015628153,1,16,0,+/+,+/+,in-frame
SPTAN1--UBA2,UBA2,SPTAN1,PR-WKnuCo,2,832,0.05062947884191548,0,2,0,+/+,+/+,in-frame
