Fusion Name,Gene 1,Gene 2,Profile ID,Total Reads Supporting Fusion,Total Fusion Coverage,FFPM,Split Reads 1,Split Reads 2,Discordant Mates,Strand 1,Strand 2,Reading Frame
ACTA2--ACTG2,ACTA2,ACTG2,PR-rlMjor,2,24320,0.03107743139373438,1,0,1,-/-,+/+,in-frame
ACTBP11--ACTG2,ACTBP11,ACTG2,PR-rlMjor,3,9138,0.04661614709060157,0,0,3,-/-,+/+,.
AK4--DNAJC6,AK4,DNAJC6,PR-rlMjor,17,130,0.26415816684674226,3,9,5,+/+,+/+,in-frame
AK4--DNAJC6,AK4,DNAJC6,PR-rlMjor,6,107,0.09323229418120314,1,0,5,+/+,+/+,out-of-frame
BBS1--SPTBN2,BBS1,SPTBN2,PR-rlMjor,18,62,0.27969688254360947,6,8,4,+/.,-/.,.
COL1A1--COL3A1,COL1A1,COL3A1,PR-rlMjor,16,52657,0.24861945114987505,1,1,14,-/-,+/+,in-frame
CTD-2516F10.2--XCR1,SYT9-AS1,XCR1,PR-rlMjor,2,5,0.03107743139373438,2,0,0,-/-,-/-,.
DDX11-AS1--SHANK2,DDX11-AS1,SHANK2,PR-rlMjor,4,2,0.06215486278746876,1,0,3,-/-,-/-,.
FLNA--FLNC,FLNA,FLNC,PR-rlMjor,3,17486,0.04661614709060157,0,1,2,-/-,+/+,in-frame
GPR143--TBL1X,TBL1X,GPR143,PR-rlMjor,39,96,0.6060099121778204,3,25,11,+/+,-/+,.
IPO7--ZNF143,IPO7,ZNF143,PR-rlMjor,13,374,0.2020033040592735,1,8,4,+/+,+/+,out-of-frame
KIF20B--KIF20B,KIF20B,KIF20B,PR-rlMjor,26,165,0.404006608118547,12,14,0,+/+,+/+,in-frame
LINC01182--SORCS2,SORCS2,LINC01182,PR-rlMjor,3,86,0.04661614709060157,2,0,1,+/+,+/-,out-of-frame
MBTD1--PTPRK,PTPRK,MBTD1,PR-rlMjor,6,230,0.09323229418120314,2,2,2,-/-,-/-,out-of-frame
PLEKHG4B--TMED8,TMED8,PLEKHG4B,PR-rlMjor,9,86,0.13984844127180474,4,3,2,-/-,+/+,out-of-frame
SEPTIN11--SHROOM3,SEPTIN11,SHROOM3,PR-rlMjor,4,390,0.06215486278746876,0,3,1,+/+,+/+,in-frame
SEPTIN11--SHROOM3,SEPTIN11,SHROOM3,PR-rlMjor,3,417,0.04661614709060157,1,1,1,+/+,+/+,out-of-frame
SF3B2--UBE2L6,UBE2L6,SF3B2,PR-rlMjor,3,4674,0.04661614709060157,1,0,2,-/-,+/+,out-of-frame
SHROOM2--TBL1X,TBL1X,SHROOM2,PR-rlMjor,5,50,0.07769357848433596,1,2,2,+/+,+/+,.
SPTBN2--ZDHHC24,SPTBN2,ZDHHC24,PR-rlMjor,22,62,0.3418517453310782,8,7,7,-/-,-/-,.
SPTBN2--ZDHHC24,SPTBN2,ZDHHC24,PR-rlMjor,19,180,0.2952355982404766,4,8,7,-/-,-/-,out-of-frame
TUBB--TUBB4B,TUBB,TUBB4B,PR-rlMjor,3,21310,0.04661614709060157,1,0,2,+/+,+/+,in-frame
TUBB--TUBB4B,TUBB4B,TUBB,PR-rlMjor,3,21506,0.04661614709060157,0,1,2,+/+,+/+,in-frame
