control	depth	Sequence_Identity	Algorithm	False_Point	True_Point	Spiked_Number	FDR	Precision	Recall	F1	Sensitivity	minimum_read_support
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	304
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	304
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	303
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	303
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	303
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	303
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	303
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	302
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	302
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	302
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	302
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	302
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	301
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	301
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	301
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	301
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	301
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	300
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	300
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	300
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	300
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	300
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	299
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	299
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	299
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	299
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	299
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	298
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	298
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	298
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	298
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	298
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	297
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	297
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	297
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	297
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	297
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	296
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	296
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	296
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	296
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	296
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	295
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	295
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	295
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	295
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	295
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	294
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	294
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	294
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	294
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	294
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	293
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	293
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	293
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	293
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	293
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	292
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	292
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	292
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	292
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	292
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	291
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	291
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	291
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	291
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	291
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	290
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	290
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	290
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	290
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	290
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	289
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	289
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	289
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	289
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	289
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	288
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	288
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	288
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	288
positive	100GB	95%	FusionSeeker	6	0	400	1	0	0	NA	0	288
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	287
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	287
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	287
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	287
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	287
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	286
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	286
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	286
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	286
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	286
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	285
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	285
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	285
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	285
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	285
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	284
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	284
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	284
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	284
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	284
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	283
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	283
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	283
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	283
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	283
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	282
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	282
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	282
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	282
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	282
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	281
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	281
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	281
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	281
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	281
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	280
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	280
positive	100GB	90%	FusionSeeker	3	0	400	1	0	0	NA	0	280
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	280
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	280
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	279
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	279
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	279
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	279
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	279
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	278
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	278
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	278
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	278
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	278
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	277
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	277
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	277
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	277
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	277
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	276
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	276
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	276
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	276
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	276
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	275
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	275
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	275
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	275
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	275
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	274
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	274
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	274
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	274
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	274
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	273
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	273
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	273
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	273
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	273
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	272
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	272
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	272
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	272
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	272
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	271
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	271
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	271
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	271
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	271
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	270
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	270
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	270
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	270
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	270
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	269
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	269
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	269
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	269
positive	100GB	95%	FusionSeeker	6	1	400	0.8571428571428571	0.14285714285714285	0.0025	0.004914004914004914	0.0025	269
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	268
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	268
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	268
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	268
positive	100GB	95%	FusionSeeker	7	1	400	0.875	0.125	0.0025	0.004901960784313725	0.0025	268
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	267
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	267
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	267
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	267
positive	100GB	95%	FusionSeeker	7	1	400	0.875	0.125	0.0025	0.004901960784313725	0.0025	267
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	266
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	266
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	266
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	266
positive	100GB	95%	FusionSeeker	7	1	400	0.875	0.125	0.0025	0.004901960784313725	0.0025	266
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	265
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	265
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	265
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	265
positive	100GB	95%	FusionSeeker	7	1	400	0.875	0.125	0.0025	0.004901960784313725	0.0025	265
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	264
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	264
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	264
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	264
positive	100GB	95%	FusionSeeker	7	1	400	0.875	0.125	0.0025	0.004901960784313725	0.0025	264
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	263
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	263
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	263
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	263
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	263
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	262
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	262
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	262
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	262
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	262
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	261
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	261
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	261
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	261
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	261
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	260
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	260
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	260
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	260
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	260
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	259
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	259
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	259
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	259
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	259
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	258
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	258
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	258
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	258
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	258
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	257
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	257
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	257
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	257
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	257
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	256
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	256
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	256
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	256
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	256
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	255
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	255
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	255
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	255
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	255
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	254
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	254
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	254
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	254
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	254
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	253
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	253
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	253
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	253
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	253
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	252
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	252
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	252
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	252
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	252
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	251
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	251
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	251
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	251
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	251
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	250
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	250
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	250
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	250
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	250
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	249
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	249
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	249
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	249
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	249
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	248
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	248
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	248
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	248
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	248
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	247
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	247
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	247
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	247
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	247
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	246
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	246
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	246
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	246
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	246
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	245
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	245
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	245
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	245
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	245
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	244
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	244
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	244
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	244
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	244
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	243
positive	100GB	85%	Genion	1	0	400	1	0	0	NA	0	243
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	243
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	243
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	243
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	242
positive	100GB	85%	Genion	2	0	400	1	0	0	NA	0	242
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	242
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	242
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	242
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	241
positive	100GB	85%	Genion	2	0	400	1	0	0	NA	0	241
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	241
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	241
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	241
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	240
positive	100GB	85%	Genion	2	0	400	1	0	0	NA	0	240
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	240
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	240
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	240
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	239
positive	100GB	85%	Genion	2	0	400	1	0	0	NA	0	239
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	239
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	239
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	239
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	238
positive	100GB	85%	Genion	2	0	400	1	0	0	NA	0	238
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	238
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	238
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	238
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	237
positive	100GB	85%	Genion	2	0	400	1	0	0	NA	0	237
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	237
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	237
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	237
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	236
positive	100GB	85%	Genion	2	0	400	1	0	0	NA	0	236
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	236
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	236
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	236
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	235
positive	100GB	85%	Genion	2	0	400	1	0	0	NA	0	235
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	235
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	235
positive	100GB	95%	FusionSeeker	8	1	400	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025	235
positive	100GB	85%	FusionSeeker	2	0	400	1	0	0	NA	0	234
positive	100GB	85%	Genion	2	0	400	1	0	0	NA	0	234
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	234
positive	100GB	90%	Genion	1	0	400	1	0	0	NA	0	234
positive	100GB	95%	FusionSeeker	9	1	400	0.9	0.1	0.0025	0.004878048780487805	0.0025	234
positive	100GB	85%	FusionSeeker	3	0	400	1	0	0	NA	0	233
positive	100GB	85%	Genion	2	0	400	1	0	0	NA	0	233
positive	100GB	90%	FusionSeeker	4	0	400	1	0	0	NA	0	233
