control	depth	Sequence_Identity	Algorithm	fusionType	fusion_type_count	recall_category
negative	100GB	85%	JAFFAL	false_fusion:self_misalignment	0	False_Call
negative	100GB	85%	JAFFAL	false_fusion:Sense-Antisense	0	False_Call
negative	100GB	85%	JAFFAL	hybrid	0	True_Recall
negative	100GB	85%	JAFFAL	intra_chromosome	0	True_Recall
negative	100GB	85%	JAFFAL	read_through	0	True_Recall
negative	100GB	85%	JAFFAL	reverse_order:hybrid	0	Partial_Recall
negative	100GB	85%	JAFFAL	reverse_order:intra_chromosome	0	Partial_Recall
negative	100GB	85%	JAFFAL	reverse_order:read_through	0	Partial_Recall
negative	100GB	85%	JAFFAL	reverse_order:tri_fusion	0	Partial_Recall
negative	100GB	85%	JAFFAL	reverse_order:truncated_tri_fusion	0	Partial_Recall
negative	100GB	85%	JAFFAL	tri_fusion	0	True_Recall
negative	100GB	85%	JAFFAL	truncated_tri_fusion	0	Partial_Recall
negative	100GB	85%	JAFFAL	wrong_order:tri_fusion	0	Partial_Recall
negative	100GB	85%	LongGF	chromosomal_misalignment:intra_chromosome	0	Partial_Recall
negative	100GB	85%	LongGF	false_fusion	20	False_Call
negative	100GB	85%	LongGF	false_fusion:mitochondrial	0	False_Call
negative	100GB	85%	LongGF	false_fusion:mitochondrial_genomic	0	False_Call
negative	100GB	85%	LongGF	false_fusion:self_misalignment	0	False_Call
negative	100GB	85%	LongGF	false_fusion:Sense-Antisense	0	False_Call
negative	100GB	85%	LongGF	hybrid	0	True_Recall
negative	100GB	85%	LongGF	intra_chromosome	0	True_Recall
negative	100GB	85%	LongGF	read_through	0	True_Recall
negative	100GB	85%	LongGF	reverse_order:hybrid	0	Partial_Recall
negative	100GB	85%	LongGF	reverse_order:intra_chromosome	0	Partial_Recall
negative	100GB	85%	LongGF	reverse_order:read_through	0	Partial_Recall
negative	100GB	85%	LongGF	reverse_order:tri_fusion	0	Partial_Recall
negative	100GB	85%	LongGF	reverse_order:truncated_tri_fusion	0	Partial_Recall
negative	100GB	85%	LongGF	tri_fusion	0	True_Recall
negative	100GB	85%	LongGF	truncated_tri_fusion	0	Partial_Recall
negative	100GB	85%	LongGF	wrong_order:tri_fusion	0	Partial_Recall
negative	100GB	90%	CTAT-LR-Fusion	chromosomal_misalignment:intra_chromosome	0	Partial_Recall
negative	100GB	90%	CTAT-LR-Fusion	false_fusion	32	False_Call
negative	100GB	90%	CTAT-LR-Fusion	false_fusion:mitochondrial	0	False_Call
negative	100GB	90%	CTAT-LR-Fusion	false_fusion:mitochondrial_genomic	0	False_Call
negative	100GB	90%	CTAT-LR-Fusion	false_fusion:self_misalignment	0	False_Call
negative	100GB	90%	CTAT-LR-Fusion	false_fusion:Sense-Antisense	0	False_Call
negative	100GB	90%	CTAT-LR-Fusion	hybrid	0	True_Recall
negative	100GB	90%	CTAT-LR-Fusion	intra_chromosome	0	True_Recall
negative	100GB	90%	CTAT-LR-Fusion	read_through	0	True_Recall
negative	100GB	90%	CTAT-LR-Fusion	reverse_order:hybrid	0	Partial_Recall
negative	100GB	90%	CTAT-LR-Fusion	reverse_order:intra_chromosome	0	Partial_Recall
negative	100GB	90%	CTAT-LR-Fusion	reverse_order:read_through	0	Partial_Recall
