library_type	Platform	RNA_sample	Algorithm	n_genes	n_pairs	mean_partners	median_partners	max_partners	prop_ge2	prop_ge3	prop_ge5	top1_share	top5_share	top10_share	prep
direct_RNA	ONT	B2	CTAT-LR-Fusion	43.0	22.0	1.023	1.0	2.0	0.0233	0.0	0.0	0.0455	0.1364	0.25	ONT direct RNA
direct_RNA	ONT	B2	FusionSeeker	85.0	50.0	1.176	1.0	5.0	0.1294	0.0235	0.0118	0.05	0.14	0.24	ONT direct RNA
direct_RNA	ONT	B2	GFSeeker	66.0	33.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0152	0.0758	0.1515	ONT direct RNA
direct_RNA	ONT	B2	Genion	94.0	57.0	1.213	1.0	6.0	0.0745	0.0638	0.0319	0.0526	0.193	0.2632	ONT direct RNA
direct_RNA	ONT	B2	JAFFAL	22.0	12.0	1.091	1.0	3.0	0.0455	0.0455	0.0	0.125	0.2917	0.5	ONT direct RNA
direct_RNA	ONT	B2	LongGF	14.0	7.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0714	0.3571	0.7143	ONT direct RNA
direct_cDNA	ONT	B1	CTAT-LR-Fusion	1194.0	624.0	1.045	1.0	5.0	0.0402	0.0034	0.0008	0.004	0.0128	0.0208	ONT direct cDNA
direct_cDNA	ONT	B1	FusionSeeker	2029.0	1698.0	1.674	1.0	54.0	0.2538	0.1153	0.0483	0.0159	0.053	0.0763	ONT direct cDNA
direct_cDNA	ONT	B1	GFSeeker	55.0	32.0	1.164	1.0	5.0	0.1091	0.0182	0.0182	0.0781	0.2031	0.2969	ONT direct cDNA
direct_cDNA	ONT	B1	Genion	36.0	20.0	1.111	1.0	3.0	0.0556	0.0556	0.0	0.075	0.225	0.35	ONT direct cDNA
direct_cDNA	ONT	B1	JAFFAL	53.0	31.0	1.17	1.0	5.0	0.0943	0.0377	0.0189	0.0806	0.2258	0.3065	ONT direct cDNA
direct_cDNA	ONT	B1	LongGF	236.0	136.0	1.153	1.0	2.0	0.1525	0.0	0.0	0.0074	0.0368	0.0735	ONT direct cDNA
direct_cDNA	ONT	B2	CTAT-LR-Fusion	1334.0	699.0	1.048	1.0	7.0	0.0405	0.003	0.0015	0.005	0.0143	0.0215	ONT direct cDNA
direct_cDNA	ONT	B2	FusionSeeker	2199.0	1846.0	1.679	1.0	88.0	0.2465	0.1082	0.0459	0.0238	0.0607	0.0842	ONT direct cDNA
direct_cDNA	ONT	B2	GFSeeker	43.0	22.0	1.023	1.0	2.0	0.0233	0.0	0.0	0.0455	0.1364	0.25	ONT direct cDNA
direct_cDNA	ONT	B2	Genion	49.0	28.0	1.143	1.0	2.0	0.1429	0.0	0.0	0.0357	0.1786	0.3036	ONT direct cDNA
direct_cDNA	ONT	B2	JAFFAL	43.0	25.0	1.163	1.0	5.0	0.093	0.0233	0.0233	0.1	0.24	0.34	ONT direct cDNA
direct_cDNA	ONT	B2	LongGF	207.0	115.0	1.111	1.0	2.0	0.1111	0.0	0.0	0.0087	0.0435	0.087	ONT direct cDNA
