control	depth	Sequence_Identity	Algorithm	False_Point	True_Point	Spiked_Number	minimum_read_support	FDR	Precision	Recall	F1	Sensitivity
positive	100GB	85%	GFSeeker	1	0	400	115	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	115	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	115	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	29	1	400	115	0.9666666666666667	0.03333333333333333	0.0025	0.004651162790697674	0.0025
positive	100GB	90%	Genion	2	0	400	115	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	45	5	400	115	0.9	0.1	0.0125	0.022222222222222227	0.0125
positive	10GB	85%	FusionSeeker	1	0	397	115	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	115	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	115	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	114	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	8	0	400	114	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	114	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	114	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	114	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	13	0	400	114	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	114	1	0	0	NA	0
negative	100GB	90%	Genion	1	0	400	114	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	14	0	400	114	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	114	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	114	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	114	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	2	0	400	114	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	12	0	400	114	1	0	0	NA	0
positive	100GB	85%	GFSeeker	1	0	400	114	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	114	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	114	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	30	1	400	114	0.967741935483871	0.03225806451612903	0.0025	0.004640371229698376	0.0025
positive	100GB	90%	Genion	2	0	400	114	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	46	5	400	114	0.9019607843137255	0.09803921568627451	0.0125	0.022172949002217297	0.0125
positive	10GB	85%	FusionSeeker	1	0	397	114	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	114	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	114	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	113	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	9	0	400	113	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	113	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	113	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	113	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	13	0	400	113	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	113	1	0	0	NA	0
negative	100GB	90%	Genion	1	0	400	113	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	14	0	400	113	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	113	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	113	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	113	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	2	0	400	113	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	12	0	400	113	1	0	0	NA	0
positive	100GB	85%	GFSeeker	1	0	400	113	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	113	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	113	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	30	1	400	113	0.967741935483871	0.03225806451612903	0.0025	0.004640371229698376	0.0025
positive	100GB	90%	Genion	2	0	400	113	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	46	5	400	113	0.9019607843137255	0.09803921568627451	0.0125	0.022172949002217297	0.0125
positive	10GB	85%	FusionSeeker	1	0	397	113	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	113	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	113	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	112	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	9	0	400	112	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	112	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	112	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	112	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	13	0	400	112	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	112	1	0	0	NA	0
negative	100GB	90%	Genion	2	0	400	112	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	14	0	400	112	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	112	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	112	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	112	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	2	0	400	112	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	13	0	400	112	1	0	0	NA	0
positive	100GB	85%	GFSeeker	1	0	400	112	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	112	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	112	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	30	1	400	112	0.967741935483871	0.03225806451612903	0.0025	0.004640371229698376	0.0025
positive	100GB	90%	Genion	2	0	400	112	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	47	5	400	112	0.9038461538461539	0.09615384615384616	0.0125	0.022123893805309734	0.0125
positive	10GB	85%	FusionSeeker	1	0	397	112	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	112	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	112	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	111	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	9	0	400	111	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	111	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	111	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	111	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	13	0	400	111	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	111	1	0	0	NA	0
negative	100GB	90%	Genion	2	0	400	111	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	15	0	400	111	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	111	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	111	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	111	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	2	0	400	111	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	13	0	400	111	1	0	0	NA	0
positive	100GB	85%	GFSeeker	1	0	400	111	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	111	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	111	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	31	1	400	111	0.96875	0.03125	0.0025	0.004629629629629629	0.0025
positive	100GB	90%	Genion	2	0	400	111	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	47	5	400	111	0.9038461538461539	0.09615384615384616	0.0125	0.022123893805309734	0.0125
positive	10GB	85%	FusionSeeker	1	0	397	111	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	111	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	111	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	110	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	9	0	400	110	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	110	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	110	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	110	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	13	0	400	110	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	110	1	0	0	NA	0
negative	100GB	90%	Genion	2	0	400	110	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	16	0	400	110	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	110	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	110	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	110	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	2	0	400	110	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	13	0	400	110	1	0	0	NA	0
positive	100GB	85%	GFSeeker	1	0	400	110	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	110	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	110	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	32	1	400	110	0.9696969696969697	0.030303030303030304	0.0025	0.004618937644341801	0.0025
positive	100GB	90%	GFSeeker	1	0	400	110	1	0	0	NA	0
positive	100GB	90%	Genion	2	0	400	110	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	47	6	400	110	0.8867924528301887	0.11320754716981132	0.015	0.026490066225165566	0.015
positive	10GB	85%	FusionSeeker	1	0	397	110	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	110	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	110	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	109	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	10	0	400	109	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	109	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	109	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	109	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	13	0	400	109	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	109	1	0	0	NA	0
negative	100GB	90%	Genion	2	0	400	109	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	16	0	400	109	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	109	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	109	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	109	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	2	0	400	109	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	13	0	400	109	1	0	0	NA	0
positive	100GB	85%	GFSeeker	1	0	400	109	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	109	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	109	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	32	1	400	109	0.9696969696969697	0.030303030303030304	0.0025	0.004618937644341801	0.0025
positive	100GB	90%	GFSeeker	1	0	400	109	1	0	0	NA	0
positive	100GB	90%	Genion	2	0	400	109	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	48	6	400	109	0.8888888888888888	0.1111111111111111	0.015	0.026431718061674006	0.015
positive	10GB	85%	FusionSeeker	1	0	397	109	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	109	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	109	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	108	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	10	0	400	108	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	108	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	108	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	108	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	13	0	400	108	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	108	1	0	0	NA	0
negative	100GB	90%	Genion	2	0	400	108	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	16	0	400	108	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	108	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	108	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	108	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	2	0	400	108	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	13	0	400	108	1	0	0	NA	0
positive	100GB	85%	GFSeeker	1	0	400	108	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	108	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	108	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	32	1	400	108	0.9696969696969697	0.030303030303030304	0.0025	0.004618937644341801	0.0025
positive	100GB	90%	GFSeeker	1	0	400	108	1	0	0	NA	0
positive	100GB	90%	Genion	2	0	400	108	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	49	6	400	108	0.8909090909090909	0.10909090909090909	0.015	0.026373626373626374	0.015
positive	10GB	85%	FusionSeeker	1	0	397	108	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	108	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	108	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	107	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	10	0	400	107	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	107	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	107	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	107	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	13	0	400	107	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	107	1	0	0	NA	0
negative	100GB	90%	Genion	2	0	400	107	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	16	0	400	107	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	107	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	107	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	107	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	2	0	400	107	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	14	0	400	107	1	0	0	NA	0
positive	100GB	85%	GFSeeker	1	0	400	107	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	107	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	107	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	32	1	400	107	0.9696969696969697	0.030303030303030304	0.0025	0.004618937644341801	0.0025
positive	100GB	90%	GFSeeker	1	0	400	107	1	0	0	NA	0
positive	100GB	90%	Genion	2	0	400	107	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	50	6	400	107	0.8928571428571429	0.10714285714285714	0.015	0.02631578947368421	0.015
positive	10GB	85%	FusionSeeker	1	0	397	107	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	107	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	107	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	105	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	10	0	400	105	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	105	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	105	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	105	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	13	0	400	105	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	105	1	0	0	NA	0
negative	100GB	90%	Genion	2	0	400	105	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	16	0	400	105	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	105	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	105	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	105	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	2	0	400	105	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	14	0	400	105	1	0	0	NA	0
positive	100GB	85%	GFSeeker	1	0	400	105	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	105	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	105	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	32	2	400	105	0.9411764705882353	0.058823529411764705	0.005	0.009216589861751152	0.005
positive	100GB	90%	GFSeeker	1	0	400	105	1	0	0	NA	0
positive	100GB	90%	Genion	2	0	400	105	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	50	6	400	105	0.8928571428571429	0.10714285714285714	0.015	0.02631578947368421	0.015
positive	10GB	85%	FusionSeeker	1	0	397	105	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	105	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	105	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	104	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	10	0	400	104	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	104	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	104	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	104	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	13	0	400	104	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	104	1	0	0	NA	0
negative	100GB	90%	Genion	2	0	400	104	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	16	0	400	104	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	104	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	104	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	104	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	2	0	400	104	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	14	0	400	104	1	0	0	NA	0
positive	100GB	85%	GFSeeker	1	0	400	104	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	104	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	104	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	32	3	400	104	0.9142857142857143	0.08571428571428572	0.0075	0.01379310344827586	0.0075
positive	100GB	90%	GFSeeker	1	0	400	104	1	0	0	NA	0
positive	100GB	90%	Genion	3	0	400	104	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	51	6	400	104	0.8947368421052632	0.10526315789473684	0.015	0.026258205689277895	0.015
positive	10GB	85%	FusionSeeker	1	0	397	104	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	104	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	104	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	103	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	10	0	400	103	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	103	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	103	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	103	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	13	0	400	103	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	103	1	0	0	NA	0
negative	100GB	90%	Genion	2	0	400	103	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	16	0	400	103	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	103	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	103	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	103	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	2	0	400	103	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	15	0	400	103	1	0	0	NA	0
positive	100GB	85%	GFSeeker	1	0	400	103	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	103	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	103	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	32	3	400	103	0.9142857142857143	0.08571428571428572	0.0075	0.01379310344827586	0.0075
positive	100GB	90%	GFSeeker	1	0	400	103	1	0	0	NA	0
positive	100GB	90%	Genion	3	0	400	103	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	52	7	400	103	0.8813559322033898	0.11864406779661017	0.0175	0.03050108932461874	0.0175
positive	10GB	85%	FusionSeeker	1	0	397	103	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	103	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	103	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	102	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	10	0	400	102	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	102	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	102	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	102	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	13	0	400	102	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	102	1	0	0	NA	0
negative	100GB	90%	Genion	2	0	400	102	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	16	0	400	102	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	102	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	102	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	102	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	2	0	400	102	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	16	0	400	102	1	0	0	NA	0
positive	100GB	85%	GFSeeker	1	0	400	102	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	102	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	102	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	34	3	400	102	0.918918918918919	0.08108108108108109	0.0075	0.013729977116704803	0.0075
positive	100GB	90%	GFSeeker	1	0	400	102	1	0	0	NA	0
positive	100GB	90%	Genion	3	0	400	102	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	52	7	400	102	0.8813559322033898	0.11864406779661017	0.0175	0.03050108932461874	0.0175
positive	10GB	85%	FusionSeeker	1	0	397	102	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	102	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	102	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	101	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	10	0	400	101	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	101	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	101	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	101	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	14	0	400	101	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	101	1	0	0	NA	0
negative	100GB	90%	Genion	2	0	400	101	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	16	0	400	101	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	101	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	101	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	101	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	2	0	400	101	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	16	1	400	101	0.9411764705882353	0.058823529411764705	0.0025	0.004796163069544365	0.0025
positive	100GB	85%	GFSeeker	1	0	400	101	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	101	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	101	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	36	4	400	101	0.9	0.1	0.01	0.01818181818181818	0.01
positive	100GB	90%	GFSeeker	1	0	400	101	1	0	0	NA	0
positive	100GB	90%	Genion	3	0	400	101	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	52	7	400	101	0.8813559322033898	0.11864406779661017	0.0175	0.03050108932461874	0.0175
positive	10GB	85%	FusionSeeker	1	0	397	101	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	101	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	101	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	100	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	10	0	400	100	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	100	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	100	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	100	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	15	0	400	100	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	100	1	0	0	NA	0
negative	100GB	90%	Genion	2	0	400	100	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	16	0	400	100	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	100	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	100	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	100	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	2	0	400	100	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	17	2	400	100	0.8947368421052632	0.10526315789473684	0.005	0.00954653937947494	0.005
positive	100GB	85%	GFSeeker	1	0	400	100	1	0	0	NA	0
positive	100GB	85%	Genion	4	0	400	100	1	0	0	NA	0
positive	100GB	90%	CTAT-LR-Fusion	1	0	400	100	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	36	4	400	100	0.9	0.1	0.01	0.01818181818181818	0.01
positive	100GB	90%	GFSeeker	1	0	400	100	1	0	0	NA	0
positive	100GB	90%	Genion	3	0	400	100	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	52	7	400	100	0.8813559322033898	0.11864406779661017	0.0175	0.03050108932461874	0.0175
positive	10GB	85%	FusionSeeker	1	0	397	100	1	0	0	NA	0
positive	10GB	90%	FusionSeeker	1	0	400	100	1	0	0	NA	0
positive	10GB	95%	FusionSeeker	1	0	400	100	1	0	0	NA	0
negative	100GB	85%	CTAT-LR-Fusion	2	0	400	99	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	10	0	400	99	1	0	0	NA	0
negative	100GB	85%	GFSeeker	1	0	400	99	1	0	0	NA	0
negative	100GB	85%	Genion	4	0	400	99	1	0	0	NA	0
negative	100GB	90%	CTAT-LR-Fusion	1	0	400	99	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	15	0	400	99	1	0	0	NA	0
negative	100GB	90%	GFSeeker	1	0	400	99	1	0	0	NA	0
negative	100GB	90%	Genion	2	0	400	99	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	16	0	400	99	1	0	0	NA	0
negative	10GB	85%	FusionSeeker	1	0	397	99	1	0	0	NA	0
negative	10GB	90%	FusionSeeker	1	0	400	99	1	0	0	NA	0
negative	10GB	95%	FusionSeeker	1	0	400	99	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	2	0	400	99	1	0	0	NA	0
